Year,Country,Core_CPI,Inflation,Exports,Foreign_Reserves,GDP,Imports,Industrial_Production,Exchange_Rate,Retail_Sales,Stock_Market,Total_Reserves,Unemployment,Trade_Balance,Trade_Openness,Reserve_Adequacy,Stock_to_GDP,GDP_Growth,Export_Growth,Import_Growth,Stock_Growth,Exchange_Rate_Change,Inflation_Lag,GDP_Growth_Lag,Unemployment_Lag,GDP_Growth_Rolling_3Y,Inflation_Rolling_3Y,Inflation_Risk,Unemployment_Risk,Exchange_Risk,Stock_Risk,GDP_Risk,Trade_Risk,Global_Risk_Score,Risk_Level
2026,Advanced Economies,101.8832,1.366126,11140081.0,0.402631,57170146.0,11972561.0,9740000000000.0,7.546392,102.2363,93.097505,5992608.0,4.766297,-832480.0,-0.0145614461086036,0.1048205824067687,1.6284286732449485e-06,0.0,0.0,0.0,0.0,0.0,2.39701,1.8278089557729915,4.766297,1.1671036056898936,2.0544880000000005,0.04054054054054054,0.43243243243243246,0.08108108108108109,0.8513513513513513,0.4932432432432432,0.9054054054054054,42.36486486486486,Medium Risk
2026,Australia,101.8832,3.753451,228622.9,0.20378,1718056.0,286892.8,97600000000.0,1.439072,91.92693,141.4508,64905.06,4.207079,-58269.9,-0.0339161820103652,0.0377781981495364,8.23318913935285e-05,0.0,0.0,0.0,11.330368737948127,-7.259437603997632,3.753451,1.9709789844543744,4.207079,0.9916248098989758,3.753451,0.5743243243243243,0.2702702702702703,0.9324324324324325,0.5810810810810811,0.4932432432432432,0.8243243243243243,57.7027027027027,Medium Risk
2026,Austria,101.8832,3.753451,243224.5,0.060902,479035.3,233708.8,145000000000.0,11.78968,91.92693,173.5025,14757.21,7.450766,9515.700000000012,0.0198642981007871,0.0308061013457672,0.0003621914710669,0.0,0.0,0.0,28.38494802519416,-3.4165579151828496,3.753451,0.7290648805081679,7.427642,-0.0360401944277333,3.753451,0.5743243243243243,0.8108108108108109,0.5540540540540541,0.22972972972972971,0.4932432432432432,0.5810810810810811,55.13513513513513,Medium Risk
2026,Belarus,776.4391,3.753451,243224.5,0.146836,65142.05,220158.0,293000000000.0,3.036473,91.92693,93.097505,10863.81,2.574486,23066.5,0.3540953961381319,0.166771079510086,0.0014291460738493,0.0,0.0,0.0,0.0,-6.23866570861381,3.753451,1.3081150316356371,2.574486,1.8945308556538976,3.753451,0.5743243243243243,0.08108108108108109,0.8513513513513513,0.8513513513513513,0.4932432432432432,0.3783783783783784,52.297297297297284,Medium Risk
2026,Belgium,145.7837,3.753451,410142.2,0.045165,615219.4,407770.9,138000000000.0,34.56274,87.32977,172.5155,24999.03,6.191872,2371.2999999999884,0.0038543973093176,0.0406343330525662,0.0002804129713724,0.0,0.0,0.0,19.02800460062275,-3.4161859515783437,3.753451,0.9825131115552388,6.191872,0.6843618042814636,3.753451,0.5743243243243243,0.6351351351351351,0.4864864864864865,0.3918918918918919,0.4932432432432432,0.6351351351351351,53.58108108108108,Medium Risk
2026,Bosnia and Herzegovina,129.4063,3.753451,243224.5,0.595189,25646.67,220158.0,4120000000.0,1.67576,91.92693,21.37295,10904.58,6.891667,23066.5,0.8993955160650486,0.4251850240206624,0.0008333616021105,0.0,0.0,0.0,-1.8772960619524823,-3.4178049071473597,3.753451,2.1220654510240022,6.891667,1.780015651429534,3.753451,0.5743243243243243,0.7297297297297297,0.6418918918918919,0.9594594594594594,0.4932432432432432,0.3783783783783784,63.74999999999999,Medium Risk
2026,Brazil,236.7382,3.753451,288008.1,1.255557,2532397.0,241662.8,455000000000.0,5.226552,96.1526,90.22612,358234.0,5.937208,46345.29999999999,0.0183009615001123,0.1414604424187834,3.562874225486762e-05,0.0,0.0,0.0,40.16916409880773,-6.45466250810337,3.753451,2.594853965021926,5.937208,1.859456440990252,3.753451,0.5743243243243243,0.5540540540540541,0.8783783783783784,0.05405405405405406,0.4932432432432432,0.21621621621621623,48.58108108108108,Medium Risk
2026,Bulgaria,101.8832,3.753451,243224.5,0.404396,72142.39,13060.92,14100000000.0,1.675766,91.92693,244.1829,47057.97,5.2625,230163.58,3.190406916100229,0.6522929168274021,0.0033847353823459,0.0,0.0,0.0,33.229066922012976,-3.41456442012692,3.753451,3.238200589442819,5.2625,2.1389316856695872,3.753451,0.5743243243243243,0.47297297297297297,0.40540540540540543,0.10810810810810811,0.4932432432432432,0.027027027027026973,38.78378378378378,Low Risk
2026,Canada,139.8305,3.753451,512661.4,0.208857,2156079.0,470157.6,263000000000.0,1.376211,108.1002,214.1969,125626.9,6.633333,42503.80000000005,0.0197134706103069,0.0582663715012297,9.934557128936372e-05,0.0,0.0,0.0,22.15008938983949,-1.5536543317619445,3.753451,1.7426806704011757,6.858333,1.2629840661371183,3.753451,0.5743243243243243,0.6621621621621622,0.22972972972972974,0.3648648648648649,0.4932432432432432,0.22972972972972971,45.81081081081081,Medium Risk
2026,Chile,168.7156,3.753451,76769.88,0.577714,303538.3,76813.03,85900000000.0,892.7559,91.92693,162.5133,54111.9,8.53996,-43.14999999999418,-0.0001421566899465,0.1782704192518703,0.0005353963569012,0.0,0.0,0.0,37.38282204336208,-6.116741732465137,3.753451,2.591884197672134,8.53996,1.7283781112573595,3.753451,0.5743243243243243,0.8783783783783784,0.8378378378378378,0.06756756756756754,0.4932432432432432,0.6486486486486487,58.98648648648649,Medium Risk
